Nome do Colaborador,Email,Usuários,Senhas,IP,MAC Address
João Silva,joao.silva@email.com,joao_silva,senha1234,192.168.1.1,00:1A:2B:3C:4D:5E
Maria Oliveira,maria.oliveira@email.com,maria_oliveira,senha5678,192.168.1.2,00:1A:2B:3C:4D:5F
Pedro Santos,pedro.santos@email.com,pedro_santos,senha9101,192.168.1.3,00:1A:2B:3C:4D:5G
Ana Costa,ana.costa@email.com,ana_costa,senha1122,192.168.1.4,00:1A:2B:3C:4D:5H
Carlos Almeida,carlos.almeida@email.com,carlos_almeida,senha3344,192.168.1.5,00:1A:2B:3C:4D:5I
Lucas Pereira,lucas.pereira@email.com,lucas_pereira,senha5566,192.168.1.6,00:1A:2B:3C:4D:5J
Laura Martins,laura.martins@email.com,laura_martins,senha7788,192.168.1.7,00:1A:2B:3C:4D:5K
Juliana Costa,juliana.costa@email.com,juliana_costa,senha9900,192.168.1.8,00:1A:2B:3C:4D:5L
Ricardo Silva,ricardo.silva@email.com,ricardo_silva,senha2233,192.168.1.9,00:1A:2B:3C:4D:5M
Patricia Lima,patricia.lima@email.com,patricia_lima,senha4455,192.168.1.10,00:1A:2B:3C:4D:5N
Eduardo Oliveira,eduardo.oliveira@email.com,eduardo_oliveira,senha6677,192.168.1.11,00:1A:2B:3C:4D:5O
Renata Ferreira,renata.ferreira@email.com,renata_ferreira,senha8899,192.168.1.12,00:1A:2B:3C:4D:5P
Gabriel Santos,gabriel.santos@email.com,gabriel_santos,senha1122,192.168.1.13,00:1A:2B:3C:4D:5Q
Mariana Almeida,mariana.almeida@email.com,mariana_almeida,senha3344,192.168.1.14,00:1A:2B:3C:4D:5R
Fernando Costa,fernando.costa@email.com,fernando_costa,senha5566,192.168.1.15,00:1A:2B:3C:4D:5S
Isabela Silva,isabela.silva@email.com,isabela_silva,senha7788,192.168.1.16,00:1A:2B:3C:4D:5T
André Oliveira,andre.oliveira@email.com,andre_oliveira,senha9900,192.168.1.17,00:1A:2B:3C:4D:5U
Cíntia Martins,cintia.martins@email.com,cintia_martins,senha2233,192.168.1.18,00:1A:2B:3C:4D:5V
Marcos Pereira,marcos.pereira@email.com,marcos_pereira,senha4455,192.168.1.19,00:1A:2B:3C:4D:5W
Letícia Almeida,leticia.almeida@email.com,leticia_almeida,senha6677,192.168.1.20,00:1A:2B:3C:4D:5X
Lucas Fernandes,lucas.fernandes@email.com,lucas_fernandes,senha8899,192.168.1.21,00:1A:2B:3C:4D:5Y
Júlia Lima,julia.lima@email.com,julia_lima,senha1122,192.168.1.22,00:1A:2B:3C:4D:5Z
